1.010000 0.000000
0.994656 0.175385
0.949090 0.345440
0.874686 0.505000
0.773705 0.649215
0.649216 0.773705
0.505000 0.874686
0.345440 0.949090
0.175385 0.994656
-0.000000 1.010000
-0.175385 0.994656
-0.345440 0.949090
-0.505000 0.874686
-0.649216 0.773705
-0.773705 0.649216
-0.874686 0.505000
-0.949090 0.345440
-0.994656 0.175385
-1.010000 -0.000000
-0.994656 -0.175385
-0.949090 -0.345440
-0.874686 -0.505000
-0.773705 -0.649215
-0.649215 -0.773705
-0.505000 -0.874686
-0.345440 -0.949090
-0.175385 -0.994656
0.000000 -1.010000
0.175385 -0.994656
0.345440 -0.949090
0.505000 -0.874686
0.649215 -0.773705
0.773705 -0.649216
0.874686 -0.505000
0.949089 -0.345441
0.994656 -0.175384
1.010000 0.000000
